iter	Passed	Remaining
0	163	163016
1	173	86376
2	182	60798
3	192	47957
4	201	40122
5	216	35841
6	232	32946
7	239	29710
8	247	27288
9	255	25285
10	264	23756
11	270	22303
12	279	21229
13	286	20159
14	293	19302
15	302	18599
16	323	18711
17	334	18251
18	343	17746
19	352	17292
20	362	16896
21	371	16520
22	379	16113
23	389	15832
24	409	15979
25	420	15745
26	427	15409
27	434	15071
28	441	14784
29	450	14563
30	458	14324
31	474	14348
32	497	14564
33	517	14711
34	527	14541
35	535	14343
36	542	14119
37	550	13932
38	557	13739
39	566	13592
40	572	13401
41	594	13549
42	604	13453
43	624	13568
44	631	13391
45	637	13221
46	645	13096
47	653	12969
48	663	12876
49	670	12735
50	676	12596
51	684	12482
52	691	12362
53	712	12477
54	720	12382
55	727	12267
56	735	12175
57	743	12080
58	750	11975
59	757	11870
60	767	11819
61	775	11731
62	783	11656
63	790	11565
64	799	11502
65	810	11464
66	820	11432
67	829	11371
68	839	11333
69	848	11270
70	858	11227
71	866	11171
72	886	11262
73	907	11353
74	928	11452
75	949	11540
76	959	11500
77	967	11437
78	987	11510
79	998	11486
80	1008	11444
81	1017	11391
82	1027	11352
83	1036	11301
84	1045	11259
85	1065	11325
86	1075	11286
87	1085	11245
88	1095	11208
89	1104	11170
90	1113	11124
91	1122	11078
92	1131	11036
93	1142	11014
94	1150	10964
95	1161	10941
96	1171	10906
97	1181	10871
98	1190	10836
99	1200	10808
100	1209	10769
101	1218	10727
102	1228	10702
103	1248	10758
104	1257	10715
105	1265	10676
106	1276	10650
107	1295	10698
108	1304	10667
109	1313	10625
110	1321	10584
111	1331	10553
112	1339	10516
113	1348	10482
114	1359	10460
115	1368	10425
116	1377	10394
117	1397	10446
118	1408	10426
119	1416	10389
120	1425	10353
121	1435	10328
122	1444	10299
123	1453	10270
124	1461	10232
125	1471	10205
126	1479	10172
127	1487	10134
128	1500	10129
129	1510	10109
130	1518	10071
131	1525	10031
132	1532	9992
133	1540	9954
134	1548	9919
135	1557	9891
136	1564	9854
137	1575	9838
138	1583	9807
139	1590	9770
140	1610	9808
141	1619	9784
142	1626	9749
143	1634	9718
144	1642	9687
145	1651	9659
146	1662	9645
147	1670	9615
148	1678	9587
149	1687	9561
150	1694	9529
151	1703	9501
152	1713	9487
153	1721	9456
154	1730	9435
155	1738	9403
156	1747	9385
157	1756	9360
158	1764	9332
159	1772	9305
160	1782	9288
161	1792	9270
162	1812	9309
163	1833	9346
164	1842	9323
165	1850	9296
166	1858	9272
167	1867	9247
168	1876	9224
169	1897	9263
170	1906	9241
171	1916	9225
172	1937	9260
173	1945	9237
174	1954	9214
175	1975	9249
176	1986	9234
177	1996	9217
178	2005	9197
179	2014	9177
180	2024	9161
181	2033	9138
182	2042	9118
183	2052	9102
184	2064	9096
185	2085	9125
186	2095	9109
187	2103	9086
188	2113	9067
189	2133	9095
190	2145	9087
191	2155	9070
192	2163	9047
193	2172	9025
194	2181	9007
195	2191	8987
196	2200	8969
197	2209	8948
198	2217	8926
199	2227	8909
200	2235	8884
201	2244	8865
202	2253	8846
203	2261	8825
204	2271	8809
205	2279	8785
206	2287	8762
207	2297	8749
208	2318	8774
209	2326	8751
210	2334	8729
211	2349	8731
212	2363	8731
213	2371	8711
214	2381	8695
215	2391	8681
216	2401	8663
217	2411	8651
218	2421	8634
219	2429	8615
220	2438	8593
221	2445	8570
222	2454	8551
223	2464	8536
224	2472	8514
225	2480	8494
226	2488	8474
227	2497	8457
228	2505	8434
229	2516	8423
230	2524	8402
231	2532	8383
232	2540	8363
233	2547	8340
234	2556	8321
235	2564	8303
236	2572	8281
237	2579	8259
238	2587	8239
239	2594	8215
240	2601	8193
241	2608	8170
242	2615	8147
243	2624	8131
244	2630	8107
245	2647	8113
246	2660	8110
247	2669	8094
248	2678	8077
249	2698	8094
250	2705	8073
251	2714	8057
252	2724	8044
253	2733	8026
254	2740	8007
255	2750	7992
256	2759	7977
257	2767	7959
258	2789	7980
259	2797	7962
260	2806	7947
261	2816	7934
262	2825	7919
263	2833	7899
264	2842	7883
265	2850	7865
266	2857	7845
267	2865	7826
268	2886	7843
269	2896	7831
270	2904	7812
271	2914	7799
272	2922	7782
273	2931	7767
274	2940	7751
275	2951	7741
276	2961	7729
277	2969	7713
278	2977	7694
279	2986	7679
280	2994	7662
281	3014	7675
282	3023	7660
283	3030	7640
284	3039	7624
285	3060	7640
286	3080	7652
287	3089	7637
288	3107	7644
289	3120	7640
290	3129	7625
291	3139	7611
292	3148	7597
293	3158	7583
294	3167	7570
295	3176	7554
296	3185	7539
297	3214	7572
298	3228	7568
299	3237	7554
300	3259	7570
301	3269	7557
302	3280	7545
303	3289	7530
304	3297	7513
305	3306	7499
306	3314	7482
307	3325	7471
308	3336	7460
309	3346	7449
310	3367	7461
311	3388	7472
312	3410	7486
313	3421	7474
314	3442	7485
315	3452	7473
316	3462	7460
317	3472	7448
